,Unique Probes,Total Entries,Match
1_MET_-,10330,10330,True
2_MET_-,10276,10276,True
3_MET_-,10281,10281,True
1_AGR2_-,10474,10474,True
2_AGR2_-,10434,10434,True
1_RPE_+,10485,10485,True
1_KERA_KLF4_SOX2_+,9257,9257,True
2_KLF4_SOX2_+,10799,19899,False
1_INA_RET_+,9701,9701,True
2_INA_RET_+,9710,9710,True
1_HRAS_+,10341,10341,True
1_COMP_PROC_+,10770,20575,False
1_CAMP_+,9947,9947,True
1_ICOS_-,10120,10120,True
2_ICOS_-,10145,10145,True
1_MET_+,10833,20932,False
10_LOX_+,10463,10463,True
1_LOX_+,10371,10371,True
2_LOX_+,10372,10372,True
3_LOX_+,10466,10466,True
4_LOX_+,10458,10458,True
5_LOX_+,10425,10425,True
6_LOX_+,10421,10421,True
7_LOX_+,10424,10424,True
8_LOX_+,10431,10431,True
9_LOX_+,10429,10429,True
1_TFB1M_TFB2M_+,8296,8296,True
1_DNAL4_-,10256,10256,True
1_BCL11A_-,9607,9607,True
1_MOK_SMO_UNG_+,4590,4590,True
2_MOK_SMO_UNG_+,5092,5092,True
3_MOK_SMO_UNG_+,4877,4877,True
4_MOK_SMO_UNG_+,4654,4654,True
5_MOK_SMO_UNG_+,4601,4601,True
6_MOK_SMO_UNG_+,5176,5176,True
1_ARC_NES_RET_+,10528,10528,True
2_ARC_NES_RET_+,10530,10530,True
3_ARC_NES_RET_+,10506,10506,True
4_ARC_NES_RET_+,10419,10419,True
5_ARC_NES_RET_+,10391,10391,True
6_ARC_NES_RET_+,10352,10352,True
1_COMP_GAST_+,10541,10541,True
2_COMP_GAST_+,10525,10525,True
3_COMP_GAST_+,10486,10486,True
4_COMP_GAST_+,10349,10349,True
5_COMP_GAST_+,10382,10382,True
6_COMP_GAST_+,10453,10453,True
1_BCL6_+,9888,9888,True
2_BCL6_+,9890,9890,True
1_ARC_+,10787,20612,False
2_ARC_+,10336,10336,True
3_ARC_+,10395,10395,True
1_BRAF_-,10112,10112,True
2_BRAF_-,10326,10326,True
3_BRAF_-,10346,10346,True
4_BRAF_-,10405,10405,True
5_BRAF_-,10318,10318,True
1_PLAT_+,10900,29865,False
2_PLAT_+,10890,29925,False
3_PLAT_+,10772,19875,False
1_BMP6_+,10398,10398,True
2_NOTHING_-,10920,50485,False
3_NOTHING_-,10912,31236,False
4_NOTHING_-,10867,20837,False
5_NOTHING_-,10595,10595,True
6_NOTHING_-,10608,10608,True
7_NOTHING_-,10613,10613,True
8_NOTHING_-,10589,10589,True
9_NOTHING_-,10591,10591,True
1_DROSHA_-,10359,10359,True
2_DROSHA_-,10363,10363,True
3_DROSHA_-,10326,10326,True
4_DGCR8_-,10319,10319,True
3_ATIC_MINA_+,10415,10415,True
1_ACE_LAT_WAS_+,9838,9838,True
2_ACE_LAT_WAS_+,9801,9801,True
3_ACE_LAT_WAS_+,9758,9758,True
4_ACE_LAT_WAS_+,9731,9731,True
1_CD4_FER_REN_SET_+,10238,10238,True
2_CD4_FER_REN_SET_+,10175,10175,True
1_CXCR4_+,10360,10360,True
2_CXCR4_+,10341,10341,True
3_CXCR4_+,10370,10370,True
1_SMO_STS_WAS_+,9828,9828,True
2_SMO_STS_WAS_+,9895,9895,True
3_SMO_STS_WAS_+,9700,9700,True
4_SMO_STS_WAS_+,9810,9810,True
5_SMO_STS_WAS_+,9740,9740,True
6_SMO_STS_WAS_+,9672,9672,True
1_BRAF_+,9896,9896,True
1_CD14_+,10067,10067,True
1_LTA_NES_WAS_+,10390,10390,True
2_LTA_NES_WAS_+,10278,10278,True
3_LTA_NES_WAS_+,10288,10288,True
4_LTA_NES_WAS_+,10323,10323,True
1_MICE_+,10921,78112,False
1_AGO2_-,10333,10333,True
2_AGO2_-,10287,10287,True
3_AGO2_-,10117,10117,True
10_LAT_MET_NES_UNG_-,9559,9559,True
1_LAT_MET_NES_UNG_-,9835,9835,True
2_LAT_MET_NES_UNG_-,9736,9736,True
3_LAT_MET_NES_UNG_-,9757,9757,True
4_LAT_MET_NES_UNG_-,9762,9762,True
5_LAT_MET_NES_UNG_-,9836,9836,True
6_LAT_MET_NES_UNG_-,9696,9696,True
7_LAT_MET_NES_UNG_-,9816,9816,True
8_LAT_MET_NES_UNG_-,9714,9714,True
9_LAT_MET_NES_UNG_-,9720,9720,True
1_CHIA_ENSA_+,9616,9616,True
2_CHIA_ENSA_+,9619,9619,True
3_CHIA_ENSA_+,9613,9613,True
4_CHIA_ENSA_+,9601,9601,True
1_THRA_+,9882,9882,True
1_LARGE_+,10921,70686,False
2_LARGE_+,10921,60477,False
1_MUT_TRO_+,10538,10538,True
2_MUT_TRO_+,10510,10510,True
1_EGFR_GNAL_RAF1_+,10336,10336,True
1_NTS_TNF_+,10523,10523,True
2_NTS_TNF_+,10570,10570,True
1_CD4_+,10896,50687,False
1_NTS_+,10675,20042,False
2_NTS_+,10690,20069,False
3_NTS_+,10681,20076,False
1_BIN1_+,10163,10163,True
2_BIN1_+,10192,10192,True
1_HT29-Sphere-vs-control_+,10538,10538,True
2_SW480-Snail-vs-Control_+,10401,10401,True
1_ERG_-,10734,20794,False
2_ERG_-,10729,20801,False
1_ANXA1_ENDOG_+,10345,10345,True
1_MYF5_+,10377,10377,True
1_NTS_-,10408,10408,True
2_NTS_-,10390,10390,True
1_YY1_YY2_-,10338,10338,True
2_YY1_YY2_-,10313,10313,True
3_YY1_YY2_-,10335,10335,True
1_RAC1_+,10091,10091,True
1_BAHD1_-,10448,10448,True
1_TLR4_+,10444,10444,True
2_TLR4_+,10426,10426,True
3_TLR4_+,10431,10431,True
4_TLR4_+,10416,10416,True
5_TLR4_+,10453,10453,True
6_TLR4_+,10410,10410,True
7_TLR4_+,10429,10429,True
1_MALL_+,10853,20389,False
5_IMPACT_+,10913,30073,False
6_IMPACT_+,10835,19620,False
1_CXCL10_+,10044,10044,True
2_MICE_+,10857,27307,False
1_MYC_TUB_WAS_+,8922,8922,True
1_MAF_-,10316,10316,True
1_PPARG_+,7589,7589,True
2_PPARG_+,6172,6172,True
1_CTGF_GNAL_TRAC_+,10093,10093,True
2_CTGF_GNAL_TRAC_+,10072,10072,True
3_CTGF_GNAL_TRAC_+,10086,10086,True
3_LAT_+,10752,19994,False
4_LAT_+,10759,20096,False
5_LAT_+,10322,10322,True
1_COL11A1_+,10366,10366,True
2_COL11A1_+,10379,10379,True
1_DLL4_JAG1_+,10391,10391,True
2_DLL4_+,10379,10379,True
1_ACR_+,10874,31134,False
1_S100A12_-,7855,7855,True
2_S100A12_-,8169,8169,True
3_S100A12_-,7867,7867,True
